Movie Name,Movie Description,Movie Age Rate,Movie Duration,Movie Genres,Movie Directors,Movie Stars,Movie Rate
Oppenheimer,"
The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",R,180 min,"Biography, Drama, History",Christopher Nolan,"Cillian Murphy, 
Emily Blunt, 
Matt Damon, 
Robert Downey Jr.",8.6
Spider-Man: Across the Spider-Verse,"
Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",PG,140 min,"Animation, Action, Adventure","Joaquim Dos Santos, 
Kemp Powers, 
Justin K. Thompson","Shameik Moore, 
Hailee Steinfeld, 
Brian Tyree Henry, 
Luna Lauren Velez",8.7
Guardians of the Galaxy Vol. 3,"
Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",PG-13,150 min,"Action, Adventure, Comedy",James Gunn,"Chris Pratt, 
Chukwudi Iwuji, 
Bradley Cooper, 
Pom Klementieff",7.9
Mission: Impossible - Dead Reckoning Part One,"
Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.",PG-13,163 min,"Action, Adventure, Thriller",Christopher McQuarrie,"Tom Cruise, 
Hayley Atwell, 
Ving Rhames, 
Simon Pegg",7.9
The Batman,"
When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",PG-13,176 min,"Action, Crime, Drama",Matt Reeves,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell",7.8
Interstellar,"
When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",PG-13,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy",8.7
The Dark Knight,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13,152 min,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",9.0
John Wick: Chapter 4,"
John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",R,169 min,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves, 
Laurence Fishburne, 
George Georgiou, 
Lance Reddick",7.8
Arrival,"
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",PG-13,116 min,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg",7.9
The Shawshank Redemption,"
Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",R,142 min,Drama,Frank Darabont,"Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler",9.3
The Godfather,"
Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",R,175 min,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton",9.2
The Big Short,"
In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",R,130 min,"Biography, Comedy, Drama",Adam McKay,"Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt",7.8
The Deer Hunter,"
An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.",R,183 min,"Drama, War",Michael Cimino,"Robert De Niro, 
Christopher Walken, 
John Cazale, 
John Savage",8.1
The Whale,"
A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",R,117 min,Drama,Darren Aronofsky,"Brendan Fraser, 
Sadie Sink, 
Ty Simpkins, 
Hong Chau",7.7
Harry Potter and the Sorcerer's Stone,"
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",PG,152 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe, 
Rupert Grint, 
Richard Harris, 
Maggie Smith",7.6
Dune,"
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",PG-13,155 min,"Action, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",8.0
Hacksaw Ridge,"
World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",R,139 min,"Biography, Drama, History",Mel Gibson,"Andrew Garfield, 
Sam Worthington, 
Luke Bracey, 
Teresa Palmer",8.1
